timestamp,value,is_anomaly
1513,-0.1196583,0
1525,-0.2169991,0
1537,0.1550458,0
1549,-0.0702807,0
1561,0.4076666,0
1573,0.2544699,0
1585,-0.197573,0
1597,0.1550709,0
1609,0.2105512,0
1621,0.3543177,0
1633,0.04307467,0
1645,-0.1452707,0
1657,0.04402479,0
1669,-0.05348388,0
1681,0.0460782,0
1693,0.3987893,0
1705,0.1392793,0
1717,-0.1052416,0
1729,0.3151713,0
1741,0.433352,0
1753,0.3333452,0
1765,-0.1394563,0
1777,-0.1398816,0
1789,-0.2563779,0
1801,-0.3198304,0
1813,0.2118027,0
1825,0.1708938,0
1837,-0.0446367,0
1849,0.09538406,0
1861,0.3557211,0
1873,-0.02465479,0
1885,0.01301722,0
1897,0.1376458,0
1909,-0.02994083,0
1921,0.150653,0
1933,0.1357781,0
1945,0.410311,0
1957,0.3779012,0
1969,0.2453165,0
1981,0.1256153,0
1993,-0.09869444,0
2005,0.2542517,0
2017,-0.1098286,0
2029,-0.1221903,0
2041,-0.1077854,0
2053,0.05912857,0
2065,0.1745063,0
2077,0.2609783,0
2089,0.06709003,0
2101,-0.1718513,0
2113,0.1070746,0
2125,-0.1442981,0
2137,-0.01445616,0
2149,0.005838904,0
2161,-0.189981,0
2173,-0.1533375,0
2185,0.4040291,0
2197,0.06119953,0
2209,0.1240614,0
2221,0.05985873,0
2233,0.3007689,0
2245,-0.05205545,0
2257,-0.02851233,0
2269,-0.01897358,0
2281,0.3368573,0
2293,0.02715292,0
2305,-0.1688932,0
2317,0.04159906,0
2329,0.2135722,0
2341,0.2831732,0
2353,0.157113,0
2365,0.1263927,0
2377,-0.06735132,0
2389,-0.09337603,0
2401,-0.253441,0
2413,0.2432032,0
2425,0.5718313,0
2437,0.1400094,0
2449,0.1731734,0
2461,0.4021398,0
2473,0.2457282,0
2485,0.206404,0
2497,0.2489908,0
2509,0.02143099,0
2521,-0.1530588,0
2533,0.1926033,0
2545,0.02857255,0
2557,-0.1808331,0
2569,0.1788065,0
2581,-0.4117156,0
2593,-0.071552,0
2605,0.2836192,0
2617,0.2954777,0
2629,0.07804168,0
2641,0.466161,0
2653,0.04062618,0
2665,-0.4121295,0
2677,0.4631826,0
2689,0.1766631,0
2701,0.3877911,0
2713,0.009145997,0
2725,0.02367768,0
2737,-0.08044423,0
2749,-0.2735997,0
2761,-0.07782661,0
2773,0.2204676,0
2785,0.158606,0
2797,-0.2700486,0
2809,-0.01190452,0
2821,0.3115241,0
2833,0.07761045,0
2845,0.2689839,0
2857,-0.04591399,0
2869,-0.4095783,0
2881,0.1515492,0
2893,-0.07686471,0
2905,0.3523783,0
2917,0.1247908,0
2929,-0.1093603,0
2941,-0.2355661,0
2953,0.5569943,0
2965,0.2372961,0
2977,-0.1427958,0
2989,-0.001858498,0
3001,0.4259298,0
3013,0.05578453,0
3025,0.1610246,0
3037,0.4647563,0
3049,0.1722867,0
3061,-0.0720887,0
3073,-0.08361319,0
3085,-0.06681339,0
3097,0.1937001,0
3109,-0.006366041,0
3121,0.2168262,0
3133,-0.08262033,0
3145,0.201122,0
3157,-0.1109504,0
3169,-0.2029201,0
3181,0.1933494,0
3193,0.08828139,0
3205,0.2915156,0
3217,-0.390576,0
3229,0.2156315,0
3241,0.3938821,0
3253,0.3961058,0
3265,0.000596374,0
3277,0.2763488,0
3289,-0.1184689,0
3301,-0.2023804,0
3313,-0.1675375,0
3325,0.130065,0
3337,0.01493755,0
3349,0.1000163,0
3361,0.1263832,0
3373,-0.2288039,0
3385,0.2490059,0
3397,0.2918494,0
3409,0.1424785,0
3421,0.4755864,0
3433,0.4277849,0
3445,0.3117848,0
3457,0.07838347,0
3469,-0.05500463,0
3481,0.07867873,0
3493,0.3104644,0
3505,0.09165418,0
3517,-0.004832253,0
3529,0.1402718,0
3541,0.2459116,0
3553,0.1231591,0
3565,0.4305914,0
3577,0.2921617,0
3589,0.4308253,0
3601,0.2470373,0
3613,0.1777797,0
3625,-0.07279933,0
3637,0.1210995,0
3649,-0.243661,0
3661,-0.04560231,0
3673,0.0382132,0
3685,0.2039663,0
3697,0.1559147,0
3709,-0.1401608,0
3721,0.3797802,0
3733,-0.005567915,0
3745,0.06064975,0
3757,0.0835771,0
3769,0.1234719,0
3781,0.01706414,0
3793,-0.1539097,0
3805,0.3538619,0
3817,-0.04279701,0
3829,-0.240186,0
3841,-0.1863909,0
3853,0.1445229,0
3865,-0.3268187,0
3877,0.1431675,0
3889,0.123024,0
3901,0.2803986,0
3913,0.1263391,0
3925,0.2200709,0
3937,0.19408,0
3949,-0.0253799,0
3961,0.2912657,0
3973,-0.06193129,0
3985,0.1995335,0
3997,-0.149019,0
4009,0.08600846,0
